Contaminant type,Compound,Source,Unit,Concentration,Reference,doi
Metals,As,Effluent,µg/L,2.799999952,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,As,Effluent,µg/L,1.179999948,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,As,Effluent,µg/L,3.210000038,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,390,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,80.30000305,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,48.40000153,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,74.90000153,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,25.79999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,198,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,40.59999847,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,132,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,57.70000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Influent,µg/L,78.40000153,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,17.60000038,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,25.79999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,14.19999981,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,51.29999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,22.29999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,40.29999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,30.89999962,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,18.20000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,12.30000019,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Cu,Effluent,µg/L,38.5,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,197,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,128,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,194,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,278,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,178,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,288,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,184,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,76.09999847,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,342,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,181,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,106,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,83.40000153,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,1380,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,175,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,2640,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,75,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,472,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,105,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,242,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,73.80000305,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,274,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,60.79999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,36.29999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,41.20000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,11.60000038,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,159,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,25,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,94,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,42,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Influent,µg/L,39.40000153,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,9.579999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,9.569999695,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,6.289999962,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,19.89999962,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,8.720000267,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,24.20000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,12,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,6.690000057,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,4.880000114,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Pb,Effluent,µg/L,12.39999962,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Pathogens,Enterococci ,Influent,n/100 mL,30000,International Stormwater BMP database (downloaded on 7/24/2020),http://www.bmpdatabase.org/index.htm
Pathogens,Enterococci ,Effluent,n/100 mL,3500,International Stormwater BMP database (downloaded on 7/24/2020),http://www.bmpdatabase.org/index.htm
Pathogens,Enterococci ,Influent,n/100 mL,240000,International Stormwater BMP database (downloaded on 7/24/2020),http://www.bmpdatabase.org/index.htm
Pathogens,Enterococci ,Effluent,n/100 mL,130000,International Stormwater BMP database (downloaded on 7/24/2020),http://www.bmpdatabase.org/index.htm
Pathogens,Enterococci ,Influent,n/100 mL,300000,International Stormwater BMP database (downloaded on 7/24/2020),http://www.bmpdatabase.org/index.htm
Pathogens,Enterococci ,Effluent,n/100 mL,160000,International Stormwater BMP database (downloaded on 7/24/2020),http://www.bmpdatabase.org/index.htm
Pathogens,Enterococci ,Influent,n/100 mL,30000,International Stormwater BMP database (downloaded on 7/24/2020),http://www.bmpdatabase.org/index.htm
Pathogens,Enterococci ,Effluent,n/100 mL,5000,International Stormwater BMP database (downloaded on 7/24/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,199,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,129,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,720,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,66.59999847,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,296,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,58.90000153,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Influent,µg/L,304,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
Metals,Zn,Effluent,µg/L,153,International Stormwater BMP database (downloaded on 06/25/2020),http://www.bmpdatabase.org/index.htm
