OBJECTID,FID_,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_,wgs84,wgs84_X,wgs84_Y,RASTERVALU
11,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_189f,951,"First National Bank, 400 S.W. 6th Ave. Branch, Portland3- 4N 4,15",North America,USA,45.520505,-122.6777,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Industrial,Other Benefits,"<a href='http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.' target='_blank'>Price, D., D. H. Hart, and B. L. Foxworthy. 1965. Artificial Recharge in Oregon and Washington 1962. 1594-C. Water Supply Paper. U.S. Geological Survey. http://pubs.er.usg",-122.6777 45.520505,0,0,815.9286499
12,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a0,42,Northern Cape,Africa,South Africa,-29.5,22,1959,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Agricultural,no data,"<a href='http://journals.co.za/docserver/fulltext/waters/4/2/2121.pdf?expires=1523282365&id=id&accname=guest&checksum=C1AB96544A12A225D8AB3BA7993538D4' target='_blank'>Smit, P. J. 1978. Groundwater Recharge in the Dolomite of the Ghaap Plateau near Kurum",22 -29.5,-29.5,22,39.55266571
13,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a1,78,Shiren River,Asia,China,36.11972,120.546267,1994,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Physical Aquifer Management,"<a href='http://www.dina-mar.es/pdf/ismar7-proceedingsbook.pdf' target='_blank'>Wang, W., P. Dillon, P. Liu, F. Meng, J. Vanderzalm, B. Liu, S. Qu, and X. Sun. 2012. Effectiveness of Underground Dams in Shandong Peninsula, China. In Achieving Ground Wate",120.546267 36.11972,0,0,200.5200043
14,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a2,257,Tihar Jail,Asia,India,28.617181,77.102104,1974,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Domestic,Other Benefits,"<a href='http://www.cseindia.org/tihar-jail-1995' target='_blank'>Centre for Science and Environment - CSE. 2014. Tihar Jail. Urban Rainwaterharvesting. http://www.cseindia.org/tihar-jail-1995 (accessed September 1, 2014).</a>",77.102104 28.617181,28.617181,77.102104,261.2086792
15,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a3,1016,Northwest Hillsborough County Reclaimed Water ASR Project,North America,USA,28.059608,-82.413342,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Reclaimed wastewater,no data,Maximize Natural Storage,"Bouwer, H., and AWWA Research Foundation, eds. 2008. Design, Operation, and Maintenance for Sustainable Underground Storage Facilities. Denver, Colo. : [London]: Awwa Research Foundation : distributed by American Water Works Association ; distribut",-82.413342 28.059608,28.059608,-82.413342,413.2106628
16,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a4,683,Regent Gardens/ Roy Amer Reserve,Oceania,Australia,-34.857654,138.638733,1993,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Domestic,no data,"Gerges, N. Z. 2000. Recycling of Surface Water in Adelaide and Northern Adelaide Plains. In Proceedings of “ABC’s of Groundwater”, South Australia, October 2000. South Australia. http://www.sapo.org.au/pub/pub461.html.",138.638733 -34.857654,0,0,
17,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a5,1069,City of Portland,North America,USA,45.525001,-122.661117,2002,2006,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Tap water,no data,Maximize Natural Storage,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-122.661117 45.525001,0,0,815.9286499
18,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a6,95,Longkou,Asia,China,37.676739,120.575455,1995,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Domestic,Maximize Natural Storage,"Liu, G., C.-X. Ma, B.-X. Zhang, and J.-K. Li. 2004. Groundwater recharge mode and demonstration (in Chinese: 地下水回灌补源模式研究与示范). Water Resources and Hydropower Engineering 35 (2): 57–59.",120.575455 37.676739,0,0,200.5200043
19,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a7,772,Sítio Serra de Campos Novos,South America,Brasil,-8.936914,-46.1898,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://www.aba-agroecologia.org.br/revistas/index.php/cad/article/view/15261' target='_blank'>da Silva, M. S. L., A. H. R. C. de Araújo, G. B. Ferreira, T. J. F. Cunha, and M. B. de O. Neto. 2013. Barragem subterrânea: contribuindo para a segu",-55.126714,0,0,341.7446594
20,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a8,31,Plettenberg Bay,Africa,South Africa,-34.060875,23.350715,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Domestic,Maximize Natural Storage,"Murray, R. 2007. Bitou Municipality: Groundwater Management and Artificial Recharge Feasability Study. Stellenbosch, South Africa: Bitou Municipality. http://www.artificialrecharge.co.za/05casestudies.html",23.350715 -34.060875,-34.060875,23.350715,139.915329
21,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18a9,401,Kladow,Europe,Germany,52.45,13.143,1932,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"<a href='https://www.berlin.de/senuvk/umwelt/wasser/download/wvk2040.pdf' target='_blank'>Möller, K., Burgschweiger, J., 2008. Wasserversorgungskonzept für Berlin  und für das von den BWB versorgte Umland (Entwicklung bis 2040) Berlin.</a>",13.143 52.45,52.45,13.143,
22,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18aa,922,Wailuku-Kahului,North America,USA,20.889463,-156.490437,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,Storm water,no data,Other Benefits,"<a href='https://scholarspace.manoa.hawaii.edu/bitstream/10125/15104/1/wrrctr54.pdf' target='_blank'>Peterson, F. L., and D. R. Hargis. 1971. Effect of Storm Runoff Disposal and Other Artificial Recharge to Hawaiian Ghyben-Herzberg Aquifers. 54. WRRC Tec",-156.490437 20.889463,0,0,
23,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18ab,644,Valle de las Palmas,North America,Mexico,32.375639,-116.622267,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Reclaimed wastewater,Domestic,Physical Aquifer Management,"Palma Nava, A., A. Mendoza Mata, C. Cruickshank Villanueva, F. González Villarreal, M. A. Salas Salinas, and R. Val Segura. 2014. Inventario de la recarga artificial en México. In XXIII Congreso Nacional de Hidráulica, Puerto Vallarta, Jalisco, Méxic",-116.622267 32.375639,0,0,-24.29199982
24,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18ac,525,Opperduit,Europe,Netherlands,51.899,4.716,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",4.716 51.899,51.899,4.716,
25,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18ad,1154,Santa Rosa ASR,North America,USA,38.447247,-122.7123,2004,2014,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,no data,no data,"<a href='http://file.scirp.org/pdf/_2014112813572627.pdf' target='_blank'>Bloetscher, F., C. H. Sham, J. J. Danko III, and S. Ratick. 2014. Lessons Learned from Aquifer Storage and Recovery (ASR) Systems in the United States. Journal of Water Resource an",-122.7123 38.447247,0,0,478.0566711
26,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18ae,1336,Hartfield Park,Oceania,Australia,-31.99489,115.997794,2011,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Domestic,Maximize Natural Storage,"<a href='https://cloud.gonitro.com/p/LE_8X4z5n02pobIdGfWJZg' target='_blank'>Johnston K., Nelson D., 2018. HARTFIELD PARK WATER PROOFING PROJECT:STORMWATER HARVESTINGUSING AQUIFER STORAGE AND RECOVERY,PERTH, WESTERN AUSTRALIA</a>",115.997794 -31.99489,0,0,135.9806671
27,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18af,301,Rokugo basin 4,Asia,Japan,39.424167,140.568056,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"Hida, N., and M. Kagabu. 2009. Managed Aquifer Recharge (MAR): The Relationship between Surface Water Temperature in Recharge Basin and Groundwater Temperature-The Case of the Rokugo Alluvial Fan, in Northern Japan. Journal of Japanese Association of Hyd",140.568056 39.424167,0,0,1042.994629
28,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b0,237,Nainital Lake,Asia,India,29.389253,79.456136,1987,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,Lake water,Domestic,Water Quality Management,"<a href='http://home.dbio.uevora.pt/~mmorais/docs/fulltext%5B20%5D.pdf' target='_blank'>Dash, R. R., I. Mehrotra, P. Kumar, and T. Grischek. 2008. Lake Bank Filtration at Nainital, India: Water-Quality Evaluation. Hydrogeology Journal 16 (6): 1089–1099",79.456136 29.389253,29.389253,79.456136,522.0373535
29,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b1,814,Barragem do Mundaú,South America,Brasil,-8.9465,-36.4918,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,Lake water,Ecological,Water Quality Management,"<a href='http://132.248.9.34/hevila/RBRHRevistabrasileiraderecursoshidricos/2014/vol19/no4/4.pdf' target='_blank'>Santos, L. L., T. H. Barros, J. J. Cabral, and R. T. Melo. 2011. Aplicação da tecnologia de filtração em margens para redução ou elimi",-45.4383,0,0,352.5693359
30,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b2,311,Yamagata-shi,Asia,Japan,38.243889,140.360278,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"Hida, N., and M. Kagabu. 2009. Managed Aquifer Recharge (MAR): The Relationship between Surface Water Temperature in Recharge Basin and Groundwater Temperature-The Case of the Rokugo Alluvial Fan, in Northern Japan. Journal of Japanese Association of Hyd",140.360278 38.243889,0,0,1042.994629
31,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b3,742,Gatton Weir  (Lockyer Valley),Oceania,Australia,-27.560482,152.256897,-9999,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Ecological,Maximize Natural Storage,<a href='https://qldgov.softlinkhosting.com.au/liberty/opac/search.do?mode=BASIC&corporation=DERM&limit=All&action=search&anonymous=true&queryTerm=Soils+and+irrigated+land+suitability+of+the+Lockyer+Valley+alluvial+plains%2C+South-East+Queensland&resourc,152.256897 -27.560482,0,0,328.697998
32,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b4,1148,Rio Grande wellfield,North America,USA,39.142196,-74.825394,1968,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,Domestic,Maximize Natural Storage,"Pyne, R. D. G. 1995. Groundwater Recharge and Wells: A Guide to Aquifer Storage Recovery. Boca Raton: Lewis Publishers",-74.825394 39.142196,39.142196,-74.825394,639.166687
33,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b5,423,Auf dem Grind,Europe,Germany,51.55,6.69,1870,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Hunt, H., Schubert, J., Ray, C., 2003. Operation and Maintenance Considerations, in: Ray, C., Melin, G., Linsky, R. (Eds.), Riverbank Filtration. Springer Netherlands, pp. 61-70.",6.69 51.55,51.55,6.69,
34,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b6,959,Ladd Building Co.,North America,USA,45.52921,-122.664035,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,no data,Other Benefits,"<a href='http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.' target='_blank'>Price, D., D. H. Hart, and B. L. Foxworthy. 1965. Artificial Recharge in Oregon and Washington 1962. 1594-C. Water Supply Paper. U.S. Geological Survey. http://pubs.er.usg",-122.664035 45.52921,0,0,815.9286499
35,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b7,838,EMBRAPA – Campo experimental da Caatinga BS-3,South America,Brasil,-9.067192,-40.327736,1982,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/131644/1/BPD36.pdf' target='_blank'>Brito, L. T. de L., A. de S. Silva, J. L. Maciel, and M. A. R. Monteiro. 1989. Barragem subterrânea I: construção e manejo. Boletim de Pesquisa,",-49.394928,0,0,101.4586639
36,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b8,81,Wangwu Reservoir,Asia,China,37.532699,120.655437,1995,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,no data,Physical Aquifer Management,"<a href='http://unesdoc.unesco.org/images/0014/001492/149210e.pdf' target='_blank'>Sun, R., X. Liang, X. Wang, and Q. Liu. 2006. Experience of Capturing Flood Water for Artificial Recharge of Groundwater in North China. In Recharge Systems for Protecting",120.655437 37.532699,0,0,200.5200043
37,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18b9,871,Mini-Anaheim Lake,North America,USA,33.866518,-117.843679,1995,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"<a href='https://www.ocwd.com/media/2414/11-12-annual-recharge-report-final.pdf' target='_blank'>Hutchinson, A. S. 2013. Report on Groundwater Recharge in the Orange County Groundwater Basin 2011-2012. Fountain Valley, CA, USA: Orange County Water Distri",-117.843679 33.866518,0,0,59.77133179
38,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18ba,672,Evanston South,Oceania,Australia,-34.633665,138.715042,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Domestic,Ecological Benefits,<a href='http://swharvesting.waterdata.com.au/pages/Scheme.aspx?id=81&catchmentid=17' target='_blank'>Government of South Australia. 2015. Evanston South. Adelaide & Mount Lofty Ranges Urban Stormwater Harvesting Sub-Catchments. http://swharvesting.water,138.715042 -34.633665,0,0,12.48933315
39,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18bb,1067,Pendleton ASR,North America,USA,45.666479,-118.75714,2003,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Physical Aquifer Management,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-118.75714 45.666479,0,0,71.99533081
40,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_18bc,181,Huangtu Gaoyuan,Asia,China,36.999577,107.999626,1970,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Agricultural,Maximize Natural Storage,"<a href='https://ac.els-cdn.com/S1878522013002634/1-s2.0-S1878522013002634-main.pdf?_tid=e26cfdbf-e8f4-43ea-bb5e-49da68e1a5b1&acdnat=1523265149_a40401d0897c8734703456d8abbf9f96' target='_blank'>Huang, T., and Z. Pang. 2013. Groundwater Recharge and Dynam",107.999626 36.999577,0,0,105.8813324
