Site name,Continent,Country,Latitude,Longitude,MAR type,Influent type,Climate
Perth Groundwater Replenishment Scheme Stage 1,Oceania,Australia,-31.782679,115.776711,Aquifer storage and recovery,Reclaimed wastewater,Dry sub-humid
New Friends Club,Asia,India,28.562541,77.266554,Rooftop Rainwater Harvesting,Storm water,Humid
Royal Bhutanese Embassy,Asia,India,28.586543,77.180794,Rooftop Rainwater Harvesting,Storm water,Humid
Mogarala area,Asia,India,13.481932,79.043898,Check dam,River water,Semi-arid
Caborca,North America,Mexico,30.704088,-112.140627,Aquifer storage using wells,River water,Semi-arid
Fazenda Mandassaia,South America,Brasil,-8.65,-41.16667,Subsurface Dam,River water,Semi-arid
Boynton Beach,North America,USA,26.51377,-80.062819,Aquifer storage and recovery,Reclaimed wastewater,Humid
"Xi'an, Yanta",Asia,China,34.226908,108.984018,Aquifer storage using wells,River water,Humid
"RRS, Sirsa",Asia,India,29.533176,75.017002,Aquifer storage and recovery,Storm water,Dry sub-humid
Sawpit Spreading Grounds,North America,USA,34.160229,-117.990874,Infiltration basin,Lake water,Semi-arid
Shanghai,Asia,China,31.187937,121.452034,Aquifer storage using wells,Reclaimed wastewater,Humid
Brousse-le-Château,Europe,France,43.99756015,2.625504942,Infiltration basin,River water,Humid
Microbacia do Córrego Fundo,South America,Brasil,-7.476338,-47.84705,Subsurface Dam,River water,Humid
Vessy,Europe,Switzerland,46.187,6.166,Reverse Drainage,River water,Humid
Lagoa do CTG,South America,Brasil,-5.87475,-35.1882,Infiltration basin,Storm water,Dry sub-humid
N/A,Asia,China,34.275475,108.815648,Aquifer storage and recovery,River water,Dry sub-humid
Nootdorp,Europe,Netherlands,52.043,4.396,Aquifer storage and recovery,Storm water,Humid
EPAGRI – Estação Experimental,South America,Brasil,-27.42058,-49.648521,Bank filtration,Lake water,Humid
N. Lekkerland,Europe,Netherlands,51.97304,5.18486,Bank filtration,River water,Humid
Lodhi Garden,Asia,India,28.592926,77.219645,Aquifer storage using wells,River water,Humid
San Gabriel River (Montebello Forebay),North America,USA,33.989036,-118.075617,Infiltration basin,Lake water,Semi-arid
"Shunping, Baoding, Hebei",Asia,China,38.895246,115.259762,Surface flooding and ditch-and-furrow,Lake water,Semi-arid
Tumbleweed Park Recharge Facility,North America,USA,33.272986,-111.828048,Aquifer storage and recovery,Reclaimed wastewater,Semi-arid
Schuwacht,Europe,Netherlands,51.896,4.642,Bank filtration,River water,Humid
"Shenbei, Shenyang",Asia,China,42.154363,123.414125,Surface flooding and ditch-and-furrow,River water,Dry sub-humid
Santa Anita Spreading Grounds,North America,USA,34.166973,-118.021551,Infiltration basin,Lake water,Semi-arid
Carracillo,Europe,Spain,41.31,-4.36,Surface flooding and ditch-and-furrow,River water,Humid
Malham,Asia,Saudi Arabia,25.143502,46.240481,Check dam,River water,Semi-arid
Toms River Water Co.,North America,USA,39.988363,-74.186073,Aquifer storage and recovery,Groundwater,Humid
WW Halingen-Fröndenberg,Europe,Germany,51.468,7.72,Bank filtration,River water,Humid
Windhoek,Africa,Namibia,-22.561459,17.07356,Aquifer storage using wells,Lake water,Semi-arid
Monto Weir (Three Moon Creek),Oceania,Australia,-24.858364,151.10663,Check dam,River water,Dry sub-humid
Funxi,Asia,China,34.212734,108.73481,Check dam,River water,Dry sub-humid
Ely Basins,North America,USA,34.034876,-117.613444,Infiltration basin,Reclaimed wastewater,Semi-arid
Lujiazui,Asia,China,31.224325,121.508677,Aquifer storage using wells,Lake water,Humid
Ujecie wody Mostowo,Europe,Poland,54.076,16.39,Bank filtration,River water,Humid
Rhein,Europe,Germany,51.444839,6.716645,Bank filtration,River water,Humid
Grisolles,Europe,France,43.82889,1.296667,Infiltration basin,River water,Humid
Warner Basin,North America,USA,33.854048,-117.831646,Infiltration basin,River water,Semi-arid
Middelweg,Europe,Netherlands,51.885,4.663,Bank filtration,River water,Humid
Comunidade Riacho Verde (Owner: Sebastião M. de Lima),South America,Brasil,-7.1541,-37.1334,Subsurface Dam,River water,Dry sub-humid
Cornedo Vicentino A,Europe,Italy,45.615,11.337,Aquifer storage using wells,River water,Humid
Max Amber Sportsfield/Torrens Valley Sportsfield,Oceania,Australia,-34.869602,138.693423,Aquifer storage and recovery,River water,Semi-arid
Bau Noi/Hong Phong,Asia,Vietnam,11.051604,108.312653,Bank filtration,Lake water,Humid
Kaliningrad,Europe,Russian Federation,54.711,20.506,Bank filtration,River water,Humid
Rusovce,Europe,Slovakia,48.06225,17.14485,Bank filtration,River water,Humid
Ma Ma Creek Weir  (Lockyer Valley),Oceania,Australia,-27.656814,152.161344,Check dam,River water,Humid
Gouda,Europe,Netherlands,52.01616,4.710388,Infiltration basin,River water,Humid
N/A,Asia,China,38.476994,102.286657,Subsurface Dam,River water,Semi-arid
Spandau,Europe,Germany,52.58,13.17,Bank filtration,River water,Humid
Dong Zhu Ying Cun Guangrao Xian,Asia,China,37.039041,118.479667,Aquifer storage and recovery,Groundwater,Dry sub-humid
Chesapeake,North America,USA,36.738493,-76.291915,Aquifer storage and recovery,River water,Humid
Khlidia,Africa,Tunesia,36.623334,10.201305,Infiltration basin,River water,Dry sub-humid
Bhaonta (Sankara),Asia,India,27.328641,76.224669,Check dam,River water,Humid
Fazenda Catolé de Queimadas - Dona Dora,South America,Brasil,-7.34714,-35.887999,Subsurface Dam,River water,Semi-arid
Assentamento Pedro Henrique - BS-3 (Owner: Fancisco Belchior dos Santos),South America,Brasil,-6.78083,-35.75722,Subsurface Dam,River water,Dry sub-humid
Zhabei Qu,Asia,China,31.241862,121.458563,Aquifer storage and recovery,Groundwater,Humid
Hassayampa Recharge Facility,North America,USA,33.935532,-112.698988,Channel infiltration/spreading,River water,Semi-arid
Fazenda Queimada dos Loiolas,South America,Brasil,-24.0447091,-48.916656,Subsurface Dam,River water,Humid
Santiago Basins,North America,USA,33.806726,-117.806409,Infiltration basin,River water,Semi-arid
"Anxin, Baoding",Asia,China,38.960491,116.033721,Surface flooding and ditch-and-furrow,Storm water,Semi-arid
Kentville Weir  (Lockyer Valley),Oceania,Australia,-27.492619,152.437705,Check dam,River water,Humid
Kuivala,Europe,Finland,60.88,26.92,Infiltration basin,River water,Humid
Crezeepolder,Europe,Netherlands,51.86178,4.641638,Bank filtration,Lake water,Humid
South of Lyon,Europe,France,45.7684,4.8356,Bank filtration,River water,Humid
Pine Flat,North America,USA,42.236392,-121.564956,Aquifer storage using wells,Storm water,Dry sub-humid
Gracia-Morenita,Europe,Spain,42.46,-8.09,Aquifer storage and recovery,Groundwater,Humid
