FID,id,site_name,continent,country,latitude,longitude,year_operation_start,year_shut_down,main_mar_type,specific_mar_type,link_to_documents,influent_source,final_use,main_objective,reference_author_year,wgs84
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1994,844,Fazenda Nossa Senhora do Rosário,South America,Brasil,-8.403055,-37.815,1991,-9999,Spreading Methods,Excess Irrigation,<a href='https://inowas.com/mar-methods/excess-irrigation/' target='_blank'>Excess irrigation</a>,Groundwater,Agricultural,Maximize Natural Storage,"<a href='https://aguassubterraneas.abas.org/asubterraneas/article/view/22712/14913' target='_blank'>Blackburn, D. M., A. A. A. Montenegro, and S. M. G. Montenegro. 2002. Recarga de aquífero aluvial a partir da agricultura irrigada e suas implicações na qualidade da água subterrânea em Pesqueira-PE. Águas Subterrâneas 0 (1). http://aguassubterraneas.abas.org/asubterraneas/article/view/22712</a>",-46.218055
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1995,412,Briesen/Spree,Europe,Germany,53.305,14.219,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,Personal communication,14.219 53.305
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1996,99,Taihe Reservoir,Asia,China,36.519783,118.125446,-9999,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Ecological,Physical Aquifer Management,"Liu, G., C.-X. Ma, B.-X. Zhang, and J.-K. Li. 2004. Groundwater recharge mode and demonstration (in Chinese: 地下水回灌补源模式研究与示范). Water Resources and Hydropower Engineering 35 (2): 57–59.",118.125446 36.519783
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1997,416,Saloppe,Europe,Germany,51.065,13.791,1875,-9999,Spreading Methods,Excess Irrigation,<a href='https://inowas.com/mar-methods/excess-irrigation/' target='_blank'>Excess irrigation</a>,Lake water,Domestic,Water Quality Management,"Fischer, T., Day, K., Grischek, T., 2005. Sustainability of riverbank filtration in Dresden, Germany, in: Unesco (Ed.), Recharge systems for protecting and enhancing groundwater resources, 5 ed. UNESCO, pp. 23-27.",13.791 51.065
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1998,989,San Dimas Canyon Spreading Grounds,North America,USA,34.129229,-117.787097,1965,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,no data,Physical Aquifer Management,"<a href='http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=30' target='_blank'>San Dimas Canyon Spreading Grounds. 2015. County of Los Angeles - Department of Public Works. http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=30 (accessed October 18, 2015).</a>",-117.787097 34.129229
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1999,298,Okinoerabu,Asia,Japan,27.385016,128.605091,1990,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,no data,no data,"<a href='https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en' target='_blank'>Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>",128.605091 27.385016
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_199a,1329,Casilla Valverde,Europe,Spain,40.53334,-3.696148,2011,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Tap water,Domestic,Management of Water Distribution Systems,"Iglesias, J.A., Martínez, I., Nogueras, R. (2017) Artificial Groundwater Recharge Using Deep Wells: Experiences at Madrid Tertiary Detrital Aquifer. Presentation at the 44th IAH Congress 'Groundwater Heritage and Sustainability'. Dubrovnik, Croatia, 25-29 September 2017",-3.696148 40.53334
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_199b,765,Sítio Fazenda Pitombeira,South America,Brasil,-7.57382,-40.25341,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://revistas.aba-agroecologia.org.br/index.php/rbagroecologia/article/view/7092/5217' target='_blank'>Oliveira, A. K. C. de, M. S. L. da Silva, C. C. E. S. E. S. Mendonça, G. B. Ferreira, V. C. Chaves, and D. J. Silva. 2007. Avaliação qualitativa da água de barragens subterrâneas no semi-árido nordestino brasileiro. REVISTA BRASILEIRA DE AGROECOLOGIA 2 (2). http://www.aba-agroecologia.org.br/revistas/index.php/rbagroecologia/article/view/7092</a>",-47.82723
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_199c,596,El Señorío,Europe,Spain,39.49,-4.96,2000,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Agricultural,Physical Aquifer Management,"Bueso, S., Islan, A., Ortuno, A., 2006. Las aguas subterraneas en los paises mediterraneos, in: Juan Antonio López Geta, R.F.R.G.R.G. (Ed.). Instituto Geológico y Minero de España, pp. 439-456.",-4.96 39.49
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_199d,1312,Mondragon,Europe,France,44.23826135,4.713302401,1952,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Environmental,Water Quality Management,"<a href='http://infoterre.brgm.fr/rapports/RP-61821-FR.pdf' target='_blank'>Casanova J., Cagnimel M., Devau N., Pettenati M., Stollsteiner Ph. (2012)  Recharge artificielle des eaux souterraines : état de l’art et perspectives. Rapport final. BRGM/RP-61821-FR. 99 p., 16 ill., 18 ann.</a>",4.71330240067568 44.2382613517223
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_199e,890,San Carlos Estates ASR System,North America,USA,26.389166,-81.7736111,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Reclaimed wastewater,no data,no data,"Mirecki, J. E. 2004. Water-Quality Changes During Cycle Tests at Aquifer Storage Recovery (ASR) Systems of South Florida. ERDC/EL TR-04-8. Vicksburg, MS, USA: Environmental Laboratory, U.S. Army Engineer Research and Development Center.",-81.7736111 26.389166
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_199f,850,Hidango,South America,Chile,-34.10332595,-71.83023593,2003,-9999,Rainwater and Run-off Harvesting,Trenches,<a href='https://inowas.com/mar-methods/trenches/' target='_blank'>Trenches</a>,Storm water,Ecological,Ecological Benefits,no data,-105.9335619
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a0,429,Weinhübel,Europe,Germany,51.156,14.986,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Grischek, T., 2010. Impact of decreasing water demand on bank filtration in Saxony, Germany. Drinking Water Engineering and Science 3, p. 11-20-20.",14.986 51.156
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a1,384,Flins,Europe,France,48.98248,1.860166,1960,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"<a href='http://infoterre.brgm.fr/rapports/RP-61821-FR.pdf' target='_blank'>Casanova J., Cagnimel M., Devau N., Pettenati M., Stollsteiner Ph. (2012)  Recharge artificielle des eaux souterraines : état de l’art et perspectives. Rapport final. BRGM/RP-61821-FR. 99 p., 16 ill., 18 ann.</a>",1.860166 48.98248
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a2,268,Kabudrahang,Asia,Iran,35.207186,48.724458,1998,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,no data,no data,"<a href='https://wedc-knowledge.lboro.ac.uk/resources/conference/26/Kalantari.pdf' target='_blank'>Kalantari, N., and K. Rangzan. 2000. Assessment of Three Water Harvesting Structures in Iran. In Water, Sanitation and Hygiene: Challenges of the Millennium, 26th WEDC Conference, Dhaka, Bangladesh, 2000, 26–28. Leicestershire, UK: WEDC - Water, Engineering and Development Centre. https://wedc-knowledge.lboro.ac.uk/resources/conference/26/Kalantari.pdf</a>",48.724458 35.207186
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a3,243,Padipatlabayalu area,Asia,India,13.519922,79.020965,-9999,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,no data,Maximize Natural Storage,"Sankaranna, G. 2002. Impact of Water Harvesting Structures on Ground Water Development: A Study from Chittoor District, Andhra Pradesh, India. In Management of Aquifer Recharge for Sustainability: Proceedings of the 4th International Symposium on Artificial Recharge of Groundwater, ISAR-4, Adelaide, South Australia, 22-26 September 2002, edited by P. J. Dillon, 305–308. Lisse ; Exton, PA: A.A. Balkema.",79.020965 13.519922
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a4,828,Sítio Várzea Comprida,South America,Brasil,-24.047689,-48.870614,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://ainfo.cnptia.embrapa.br/digital/bitstream/item/69889/1/Avaliacao-da-qualidade-de-agua.pdf' target='_blank'>da Silva, M. S. L., R. da B. V. Parahyba, M. B. de O. Neto, J. B. dos Anjos, T. J. F. Cunha, L. B. Cardoso, and C. L. Mota. 2011. Avaliação da Qualidade da Água para fins de Irrigação em Áreas de Barragens  Subterrâneas no Semiárido do Nordeste Brasileiro. Comunicado Técnico, no. 64 (December). http://ainfo.cnptia.embrapa.br/digital/bitstream/item/69889/1/Avaliacao-da-qualidade-de-agua.pdf</a>",-72.918303
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a5,708,Halls Head,Oceania,Australia,-32.540789,115.690477,2005,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Reclaimed wastewater,Domestic,Water Quality Management,"Ahuja, S. 2014. Water Reclamation and Sustainability.",115.690477 -32.540789
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a6,1043,Castle Pines,North America,USA,39.468491,-104.89332,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,no data,no data,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-104.89332 39.468491
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a7,1019,Bay Park Wastewater Treatment Plant,North America,USA,40.632986,-73.664929,1968,1973,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Reclaimed wastewater,no data,no data,"Bouwer, H., and AWWA Research Foundation, eds. 2008. Design, Operation, and Maintenance for Sustainable Underground Storage Facilities. Denver, Colo. : [London]: Awwa Research Foundation : distributed by American Water Works Association ; distributed by IWA Publishing.",-73.664929 40.632986
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a8,805,BS-4,South America,Brasil,-6.068088,-37.32788,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Storm water,Agricultural,Maximize Natural Storage,"Cruz, E. S., D. F. de Freitas, E. P. de C. Cerqueira JR, M. A. Cerqueira, and G. V. L. de Almeida. 2015. Monitoramento da Salinidade do Solo em Barragens Subterrâneas no Semiárido do Rio Grande do Norte. In . Petrolina, Brasil. http://www.ivsmud.com.br/files/anais/81_1.pdf",-43.395968
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19a9,624,Hardhof,Europe,Switzerland,47.401,8.48,1934,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Grischek, T., Schoenheinz, D., Worch, E., Hiscock, K., 2002. Bank-Filtration in Europe - An overview of Aquifer Conditions and hydraulic Controls, in: Dillon, P. (Ed.), Management of aquifer recharge for sustainabily, p. p. 488.",8.48 47.401
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19aa,621,Birstal,Europe,Switzerland,47.493,7.591,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Domestic,no data,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",7.591 47.493
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19ab,262,Biarjomand recharge project,Asia,Iran,36.076362,55.641625,1979,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,no data,Physical Aquifer Management,"Kazemi, G. A., H. Mehdizadeh, and R. Ashouri. 2002. Evaluation of Groundwater Recharge Schemes in the Shahood District, Northeast Iran. In Management of Aquifer Recharge for Sustainability: Proceedings of the 4th International Symposium on Artificial Recharge of Groundwater, ISAR-4, Adelaide, South Australia, 22-26 September 2002, edited by P. J. Dillon, 225–229. Lisse ; Exton, PA: A.A. Balkema.",55.641625 36.076362
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19ac,469,Witten,Europe,Germany,51.50182,7.893202,1886,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Water Quality Management,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",7.893202 51.50182
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19ad,605,Hyndevad,Europe,Sweden,59.323,16.45,1915,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,Domestic,Water Quality Management,"Frycklund, C., 2001. Site description Eskilstuna, Sweden, Artificial recharge of groundwater, EC project ENV4-CT95-0071, pp. 30-33.",16.45 59.323
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19ae,571,Belgrade,Europe,Serbia and Montenegro,44.84321,20.45654,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Ray, C., Schubert, J., Melin, G., Linsky, R.B., 2003. Introduction. Kluwer Academic Publishers.",20.45654 44.84321
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19af,143,Airport Shanghai,Asia,China,31.154511,121.804596,-9999,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,no data,Maximize Natural Storage,"Yan, J.-H. 2009. Urban rainwater harvesting and utilization of the Loess Plateau (in Chinese: 黄土高原城市雨水集蓄利用研究). Master thesis, Lanzhou, China: Gansu Agricultural University.",121.804596 31.154511
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b0,880,Sand Hollow Reservoir,North America,USA,37.11278,-113.374061,2002,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),no data,no data,Physical Aquifer Management,"<a href='https://pubs.usgs.gov/of/2016/1078/ofr20161078.pdf' target='_blank'>Heilweil, V. M., and T. M. Marston. 2011. Assessment of Managed Aquifer Recharge from Sand Hollow Reservoir, Washington County, Utah, Updated to Conditions in 2010. 2011–5142. Scientific Investigations Report. Reston, Virginia: U.S. Geological Survey.</a>",-113.374061 37.11278
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b1,281,Yavne-3,Asia,Israel,31.853911,34.713885,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Reclaimed wastewater,Agricultural,Water Quality Management,"<a href='http://www.gsi.gov.il/_uploads/ftp/GsiReport/2009/Goren-Orly-GSI-12-2009.pdf' target='_blank'>Goren, O. 2009. Geochemical Evolution and Manganese Mobilization in Organic Enriched Water Recharging Calcareous-Sandstone Aquifier; Clues from the Shafdan Sewage Treatment Plant. Dissertation, Jerusalem, Israel: Hebrew University. http://www.gsi.gov.il/_uploads/ftp/GsiReport/2009/Goren-Orly-GSI-12-2009.pdf</a>",34.713885 31.853911
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b2,317,Okseong,Asia,Korea,35.783484,126.833968,1995,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,Agricultural,no data,"<a href='https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en' target='_blank'>Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>",126.833968 35.783484
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b3,170,Farm,Asia,China,47.588685,133.51825,1997,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Storm water,Agricultural,Maximize Natural Storage,"Li, H., G. Li, and Y. Liu. 2011. Discussion on the underground reservior in Sanjiang Plain (in Chinese: 论三江平原建设地下水库优势). Heilongjiang Science and Technology of Water Conservancy 3 (39): 157–158. doi:1007-7596(2011)03-0157-02.",133.51825 47.588685
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b4,616,Muttenzer Hard,Europe,Switzerland,47.532,7.7,1955,-9999,Spreading Methods,Surface flooding and ditch-and-furrow,<a href='https://inowas.com/mar-methods/flooding/' target='_blank'>Flooding</a>,River water,Domestic,Water Quality Management,"<a href='https://edoc.unibas.ch/140/1/DissB_6920.pdf' target='_blank'>Rüetschi, D., 2004. BASLER TRINKWASSERGEWINNUNG IN DEN LANGEN ERLEN BIOLOGISCHE REINIGUNGSLEISTUNGEN IN DEN BEWALDETEN WÄSSERSTELLEN  Philosophisch-Naturwissenschaftlichen Fakultät Basel.</a>",7.7 47.532
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b5,858,La atarjea,South America,Peru,-12.041335,-77.014331,2001,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Domestic,Physical Aquifer Management,no data,-89.055666
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b6,902,Paradise Run ASR System,North America,USA,27.21813,-80.960666,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Ecological,Ecological Benefits,<a href='http://141.232.10.32/pm/projects/project_docs/pdp_asr_combined/052808_asr_report/052808_asr_ch2_asr_eis_main_body_final.pdf' target='_blank'>Final Aquifer Storage and Recovery Pilot Project Technical Data Report - Kissimmee River ASR System - Hillsboro ASR System. 2013. South Florida Water Management District. http://141.232.10.32/pm/projects/project_docs/pdp_asr_combined/052808_asr_report/052808_asr_ch2_asr_eis_main_body_final.pdf</a>,-80.960666 27.21813
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b7,447,Petersaue + WW Eich,Europe,Germany,50.01,8.264,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,no data,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",8.264 50.01
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b8,560,Mosina-Krajkowo,Europe,Poland,52.21203,16.94246,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Górski, J., 2011. Quality of Riverbank Filtrated Water on the Base of Poznań City (Poland) Waterworks Experiences, in: Shamrukh, M. (Ed.), Riverbank Filtration for Water Security in Desert Countries. Springer Netherlands, pp. 269-279.",16.94246 52.21203
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19b9,73,Luohe ASR,Asia,China,34.669067,112.479196,2000,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,no data,Maximize Natural Storage,"<a href='http://unesdoc.unesco.org/images/0014/001492/149210e.pdf' target='_blank'>Sun, R., X. Liang, X. Wang, and Q. Liu. 2006. Experience of Capturing Flood Water for Artificial Recharge of Groundwater in North China. In Recharge Systems for Protecting and Enhancing Groundwater Resources; Proceedings of the 5th International Symposium on Management of Aquifer Recharge ISMAR5, Berlin, Germany, 11–16 June 2005, 13:727–732. IHP-VI Series on Groundwater. Berlin: UNESCO document. http://www.unesco.org/ulis/cgi-bin/ulis.pl?catno=149210&set=00540C4871_2_193&gp=1&lin=1&ll=1.</a>",112.479196 34.669067
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19ba,491,Zandvoort,Europe,Netherlands,52.376,4.548,1957,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Water Quality Management,"Olsthoorn, T.N., Mosch, M.J.M., 2002. Fifty years artificial recharge in the Amsterdam dune area. In: Dillion, P.J. (Ed.), Management of Aquifer Recharge for Sustainability, Proceedings of the fourth International Symposium On Artificial Recharge, ISAR 4, Adelaide. A.A. Balkema Publishers, Australia, pp. 29–33.",4.548 52.376
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19bb,885,Delray Beach,North America,USA,26.466666,-80.1,2001,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Reclaimed wastewater,no data,no data,"Mirecki, J. E. 2004. Water-Quality Changes During Cycle Tests at Aquifer Storage Recovery (ASR) Systems of South Florida. ERDC/EL TR-04-8. Vicksburg, MS, USA: Environmental Laboratory, U.S. Army Engineer Research and Development Center.",-80.1 26.466666
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_19bc,180,Ordos Plateau,Asia,China,40.073906,109.80943,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Agricultural,Maximize Natural Storage,"<a href='https://ac.els-cdn.com/S1878522013002634/1-s2.0-S1878522013002634-main.pdf?_tid=e26cfdbf-e8f4-43ea-bb5e-49da68e1a5b1&acdnat=1523265149_a40401d0897c8734703456d8abbf9f96' target='_blank'>Huang, T., and Z. Pang. 2013. Groundwater Recharge and Dynamics in Northern China: Implications for Sustainable Utilization of Groundwater. Procedia Earth and Planetary Science 7: 369–372. doi:10.1016/j.proeps.2013.03.182.</a>",109.80943 40.073906
